Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
67,male,skilled,own,no_info,little,1169,6,radio/TV,good
22,female,skilled,own,little,moderate,5951,48,radio/TV,bad
49,male,unskilled,own,little,no_info,2096,12,education,good
45,male,skilled,free,little,little,7882,42,furniture/equipment,good
53,male,skilled,free,little,little,4870,24,car,bad
35,male,unskilled,free,no_info,no_info,9055,36,education,good
53,male,skilled,own,quite rich,no_info,2835,24,furniture/equipment,good
35,male,management,rent,little,moderate,6948,36,car,good
61,male,unskilled,own,rich,no_info,3059,12,radio/TV,good
28,male,management,own,little,moderate,5234,30,car,bad
25,female,skilled,rent,little,moderate,1295,12,car,bad
24,female,skilled,rent,little,little,4308,48,business,bad
22,female,skilled,own,little,moderate,1567,12,radio/TV,good
60,male,unskilled,own,little,little,1199,24,car,bad
28,female,skilled,rent,little,little,1403,15,car,good
32,female,unskilled,own,moderate,little,1282,24,radio/TV,bad
53,male,skilled,own,no_info,no_info,2424,24,radio/TV,good
25,male,skilled,own,no_info,little,8072,30,business,good
44,female,management,free,little,moderate,12579,24,car,bad
31,male,skilled,own,quite rich,no_info,3430,24,radio/TV,good
48,male,skilled,own,little,no_info,2134,9,car,good
44,male,skilled,rent,quite rich,little,2647,6,radio/TV,good
48,male,unskilled,rent,little,little,2241,10,car,good
44,male,skilled,own,moderate,moderate,1804,12,car,good
26,male,skilled,own,no_info,no_info,2069,10,furniture/equipment,good
36,male,unskilled,own,little,little,1374,6,furniture/equipment,good
39,male,unskilled,own,little,no_info,426,6,radio/TV,good
42,female,skilled,rent,rich,rich,409,12,radio/TV,good
34,male,skilled,own,little,moderate,2415,7,radio/TV,good
63,male,skilled,own,little,little,6836,60,business,bad
36,male,skilled,own,rich,moderate,1913,18,business,good
27,male,skilled,own,little,little,4020,24,furniture/equipment,good
30,male,skilled,own,moderate,moderate,5866,18,car,good
57,male,unskilled,rent,no_info,no_info,1264,12,business,good
33,female,management,own,little,rich,1474,12,furniture/equipment,good
25,male,unskilled,own,little,moderate,4746,45,radio/TV,bad
31,male,skilled,free,little,no_info,6110,48,education,good
37,male,skilled,own,little,rich,2100,18,radio/TV,bad
37,male,skilled,own,little,rich,1225,10,domestic appliances,good
24,male,skilled,own,little,moderate,458,9,radio/TV,good
30,male,management,own,quite rich,no_info,2333,30,radio/TV,good
26,male,skilled,own,quite rich,moderate,1158,12,radio/TV,good
44,male,unskilled,own,little,moderate,6204,18,repairs,good
24,male,skilled,rent,moderate,little,6187,30,car,good
58,female,unskilled,free,little,little,6143,48,car,bad
35,female,management,own,little,no_info,1393,11,car,good
39,male,skilled,own,quite rich,no_info,2299,36,radio/TV,good
23,female,unemployed,rent,quite rich,little,1352,6,car,good
39,male,unskilled,own,little,no_info,7228,11,car,good
28,female,skilled,own,moderate,no_info,2073,12,radio/TV,good
29,male,unskilled,own,no_info,moderate,2333,24,furniture/equipment,good
30,male,management,own,little,moderate,5965,27,car,good
25,male,skilled,own,little,no_info,1262,12,radio/TV,good
31,male,skilled,own,no_info,no_info,3378,18,car,good
57,male,skilled,free,little,moderate,2225,36,car,bad
26,male,unskilled,own,no_info,no_info,783,6,car,good
52,male,management,own,no_info,moderate,6468,12,radio/TV,bad
31,female,skilled,own,little,no_info,9566,36,radio/TV,good
23,female,management,own,little,rich,1961,18,car,good
23,female,unskilled,rent,little,little,6229,36,furniture/equipment,bad
27,male,skilled,own,little,moderate,1391,9,business,good
50,male,skilled,own,no_info,moderate,1537,15,radio/TV,good
61,male,management,free,little,moderate,1953,36,business,bad
25,male,skilled,own,little,moderate,14421,48,business,bad
26,female,skilled,own,little,no_info,3181,24,radio/TV,good
48,male,skilled,own,no_info,no_info,5190,27,repairs,good
29,female,skilled,own,little,no_info,2171,12,radio/TV,good
22,male,skilled,own,rich,moderate,1007,12,car,good
37,male,skilled,free,little,no_info,1819,36,education,bad
25,female,skilled,own,no_info,no_info,2394,36,radio/TV,good
30,female,skilled,own,little,no_info,8133,36,car,good
